PC1,PC2,cluster
-0.12701246462614715,-0.2808206501982012,0
-0.8843506406789888,-0.6137221398478407,2
-0.7804201203370205,0.8811121678384193,0
-0.5790058960397623,-0.6210879029998511,2
-0.41050677166959065,0.25214343587174365,0
-0.693495988849509,-0.8022058423127545,2
-1.1769001882105832,-0.21617971407427486,2
-1.4623549701829732,0.1435257085800982,0
-1.170352340760326,-0.774802487936292,2
-0.6768222814842052,-0.23848931459487913,0
-0.5068864580165042,-1.184634470942866,2
-0.31559382141497,-0.024089311999817294,0
-0.8971369324833902,-0.5213197766272694,2
-1.0047048332357555,0.4839375388708761,0
-0.9388511458417239,0.41418584529845415,0
-0.7786941145352315,0.192005641524962,2
-0.13070746187129154,0.10644347667093648,0
-0.3467070923278913,-0.012667100344278183,0
-1.25201913387287,0.3224890547519099,0
-0.20460769645623722,-0.41571744871944644,2
-1.185588806031537,0.753163388969181,0
-0.636798917942799,-0.07288672806722238,2
-0.6397637276128492,0.42640798024560017,0
-1.0520143179304873,0.5046038890466231,0
-0.7812996904662441,0.20446044533086702,2
-0.24959842676999766,-0.4540597427116883,0
-0.6628347738502345,0.43761239098694804,2
0.10464617796414705,0.10762399496818462,0
-0.22871116079679937,-0.5878888058359764,2
-0.18459826532254137,0.18420278395083967,0
-0.4957147021216819,0.21292105458658042,0
-0.6993046612364522,0.7720933096009897,0
-0.6445382897015092,-0.10806416311959102,0
-0.7480037315475981,1.0962787375418532,0
-1.074765957389094,0.1361407760051837,0
-0.28210117220744635,-0.19897929302754108,2
0.012223054344817574,-0.3375675978795567,0
-0.9465610109325406,-0.3614317165623914,2
0.020867371580423122,-0.5508147570412781,2
-0.5185190641655966,0.4786469532077098,0
-1.4059402214420904,-0.2884594729797383,2
-0.08380568432309399,-0.2268147478224598,0
-0.04502790771633752,-0.6737652778445923,2
-0.8242142118065922,0.24241064000510165,2
-0.3071445572718742,-0.34312669231697934,2
-0.4300985619865493,-0.4936574289749116,2
-0.7904635589961657,-0.13068060785277,2
-0.23180451568705482,-0.09505784088389238,0
-1.3545727604668838,0.09471073064826138,0
-0.40975706368420783,-0.02055399879994122,0
-0.22590380579389976,0.24631697536794647,3
-0.7427748198930487,0.47103364023794164,0
-0.7495194541100351,-0.5338141891800274,2
-0.5695929551180012,-0.6060885707225567,2
-0.2658450034708895,-0.039497627222233135,0
-0.44657358072967945,-0.0943367386842186,0
-0.7216194717447593,0.028236031898199142,0
-0.46343557395260826,-0.39525240812089035,2
-0.43127279664287244,0.7293638461049758,0
-0.5997677855109345,-0.289740967455896,0
-0.6442711055999215,0.5578859451775614,0
-0.8786235880086929,-0.27104844283498114,2
